Metric,Value
date,2026-05-10 20:29:40.554957
hostname,Alecs-MacBook-Air.local
boot_timestamp,1776891064.0
uptime_duration,"18 days, 6:38:36"
os_type,macOS
os_version,26.4.1
os_edition,Tahoe
os_kernel_version,25.4.0
os_arch,arm64
cpu_model,Apple M2
cpu_physical_cores,8
cpu_logical_cores,8
cpu_usage_percent,2.0
cpu_frequency,3.5
mem_virtual_memory_used_MiB,10161
mem_virtual_memory_available_MiB,6216
mem_virtual_memory_total_MiB,16377
mem_virtual_memory_util_percent,62.0
mem_swap_memory_used_MiB,0
mem_swap_memory_available_MiB,0
mem_swap_memory_total_MiB,0
mem_swap_memory_util_percent,0.0
disk_root_dir,/System/Volumes/Data
disk_root_fs,apfs
disk_used_MiB,151664
disk_available_MiB,319627
disk_total_MiB,471292
disk_usage_percent,33.8
network_interfaces_lo0_ipv4_address,127.0.0.1
network_interfaces_lo0_ipv6_address,fe80::1%lo0
network_interfaces_en0_ipv4_address,10.10.10.18
network_interfaces_en0_mac_address,fa:1c:e5:37:a5:3e
network_interfaces_en0_ipv6_address,2601:600:807f:a1ea:ec82:9445:e11e:ae56
network_interfaces_anpi0_mac_address,6e:29:97:f9:1a:b5
network_interfaces_anpi1_mac_address,6e:29:97:f9:1a:b6
network_interfaces_en3_mac_address,6e:29:97:f9:1a:95
network_interfaces_en4_mac_address,6e:29:97:f9:1a:96
network_interfaces_en1_mac_address,36:57:92:e4:7c:c0
network_interfaces_en2_mac_address,36:57:92:e4:7c:c4
network_interfaces_bridge0_mac_address,36:57:92:e4:7c:c0
network_interfaces_ap1_mac_address,12:0b:5f:d1:47:7a
network_interfaces_awdl0_mac_address,22:85:c1:59:30:0e
network_interfaces_awdl0_ipv6_address,fe80::2085:c1ff:fe59:300e%awdl0
network_interfaces_llw0_mac_address,22:85:c1:59:30:0e
network_interfaces_llw0_ipv6_address,fe80::2085:c1ff:fe59:300e%llw0
network_interfaces_utun0_ipv6_address,fe80::2b89:e33f:fe61:e286%utun0
network_interfaces_utun1_ipv6_address,fe80::c419:abef:40bb:ddb0%utun1
network_interfaces_utun2_ipv6_address,fe80::68a:72b9:b036:2727%utun2
network_interfaces_utun3_ipv6_address,fe80::ce81:b1c:bd2c:69e%utun3
network_interfaces_utun4_ipv6_address,fe80::10b3:fba0:3617:4fc9%utun4
network_interfaces_utun5_ipv6_address,fe80::2eb1:c2dd:4c87:dda7%utun5
